epoch,episodes,wins,draws,losses,win_rate,avg_reward,avg_steps,learner_rating,num_players
215,50,37,0,13,0.740000,0.860000,98.260000,2614.951788,44
216,50,36,0,14,0.720000,0.660000,101.900000,2599.796302,45
217,50,37,0,13,0.740000,0.980000,91.860000,2605.494021,45
218,50,37,0,13,0.740000,0.720000,113.960000,2610.214823,45
219,50,35,0,15,0.700000,0.580000,111.120000,2609.330781,45
220,50,35,1,14,0.700000,0.800000,108.360000,2628.439930,45
221,50,42,0,8,0.840000,1.180000,106.500000,2727.428994,46
222,50,39,0,11,0.780000,0.980000,131.020000,2731.419318,46
223,50,34,0,16,0.680000,0.600000,121.700000,2664.037021,46
224,50,35,0,15,0.700000,0.700000,117.500000,2671.634307,46
225,50,39,0,11,0.780000,1.000000,120.360000,2715.003161,46
226,50,40,0,10,0.800000,0.900000,127.260000,2754.497704,47
227,50,37,0,13,0.740000,0.780000,148.660000,2742.164232,47
228,50,39,0,11,0.780000,0.800000,132.260000,2749.354351,47
229,50,34,0,16,0.680000,0.620000,114.940000,2707.382495,47
230,50,42,0,8,0.840000,1.200000,117.500000,2762.128188,47
231,50,32,0,18,0.640000,0.600000,117.080000,2705.870706,48
232,50,40,0,10,0.800000,0.940000,130.200000,2742.309874,48
233,50,38,0,12,0.760000,1.000000,125.340000,2726.834646,48
234,50,43,0,7,0.860000,1.080000,132.580000,2827.910348,48
235,50,32,0,18,0.640000,0.560000,120.620000,2691.222941,48
236,50,35,0,15,0.700000,0.680000,125.160000,2684.399487,49
237,50,38,0,12,0.760000,0.700000,133.600000,2711.679948,49
238,50,34,0,16,0.680000,0.540000,145.060000,2714.075106,49
239,50,35,0,15,0.700000,0.420000,179.500000,2741.736482,49
240,50,39,0,11,0.780000,0.800000,154.100000,2761.586446,49
241,50,37,0,13,0.740000,0.880000,120.080000,2795.927380,50
242,50,37,0,13,0.740000,0.620000,163.480000,2802.382546,50
243,50,33,0,17,0.660000,0.580000,146.880000,2704.581802,50
244,50,40,0,10,0.800000,0.840000,169.260000,2844.171305,50
245,50,43,0,7,0.860000,1.020000,173.380000,2897.718337,50
246,50,36,0,14,0.720000,0.660000,230.800000,2843.618240,50
247,50,41,0,9,0.820000,0.940000,177.300000,2866.485110,50
248,50,40,0,10,0.800000,0.840000,207.060000,2904.772880,50
249,50,46,0,4,0.920000,1.020000,209.520000,2986.343776,50
250,50,41,0,9,0.820000,0.820000,239.260000,2988.574096,50
251,50,38,0,12,0.760000,0.780000,196.180000,2909.222218,50
252,50,35,0,15,0.700000,0.560000,255.000000,2880.115186,50
253,50,39,0,11,0.780000,0.800000,231.540000,2906.102929,50
254,50,38,0,12,0.760000,0.660000,226.420000,2916.706044,50
255,50,39,0,11,0.780000,0.700000,192.220000,2948.297569,50
256,50,40,0,10,0.800000,0.820000,301.400000,3083.553450,50
257,50,35,0,15,0.700000,0.600000,226.860000,2947.611244,50
258,50,41,0,9,0.820000,0.820000,194.000000,2972.717750,50
259,50,35,0,15,0.700000,0.460000,275.500000,2960.252872,50
260,50,33,0,17,0.660000,0.420000,190.740000,2841.286125,50
261,50,32,0,18,0.640000,0.340000,277.660000,2847.182743,50
262,50,28,0,22,0.560000,0.160000,248.700000,2812.213008,50
263,50,39,0,11,0.780000,0.720000,210.340000,2911.572816,50
264,50,36,0,14,0.720000,0.580000,290.960000,2952.227634,50
265,50,38,0,12,0.760000,0.700000,269.860000,2980.235938,50
266,50,34,0,16,0.680000,0.460000,298.440000,2900.122307,50
267,50,41,0,9,0.820000,0.960000,256.160000,3024.895065,50
268,50,25,0,25,0.500000,0.060000,110.180000,2724.448653,50
269,50,30,0,20,0.600000,0.380000,101.600000,2678.926652,50
270,50,28,0,22,0.560000,0.180000,114.180000,2590.373929,50
271,50,25,0,25,0.500000,-0.140000,134.040000,2533.825382,50
272,50,35,0,15,0.700000,0.640000,125.140000,2690.126778,50
273,50,30,0,20,0.600000,0.260000,129.460000,2642.299156,50
274,50,34,0,16,0.680000,0.660000,123.640000,2675.894046,50
275,50,33,0,17,0.660000,0.540000,150.640000,2654.986378,50
276,50,31,0,19,0.620000,0.420000,185.220000,2696.715563,50
277,50,38,0,12,0.760000,0.760000,196.400000,2797.359910,50
278,50,29,0,21,0.580000,0.340000,205.320000,2724.718894,50
279,50,34,0,16,0.680000,0.600000,179.840000,2734.758520,50
280,50,33,0,17,0.660000,0.460000,183.500000,2735.635690,50
281,50,34,0,16,0.680000,0.420000,271.480000,2833.644330,50
282,50,37,0,13,0.740000,0.560000,249.420000,2904.939567,50
283,50,35,0,15,0.700000,0.540000,235.860000,2880.681438,50
284,50,35,1,14,0.700000,0.520000,249.180000,2901.041280,50
285,50,36,0,14,0.720000,0.600000,325.500000,2955.110329,50
286,50,34,0,16,0.680000,0.520000,409.140000,2973.853760,50
287,50,33,1,16,0.660000,0.420000,420.600000,2919.264668,50
288,50,39,0,11,0.780000,0.540000,395.880000,3021.949942,50
289,50,35,0,15,0.700000,0.460000,493.560000,2942.487130,50
290,50,37,0,13,0.740000,0.580000,418.840000,3024.617635,50
291,50,36,0,14,0.720000,0.520000,412.420000,3025.458766,50
292,50,31,0,19,0.620000,0.340000,428.420000,2909.759995,50
293,50,36,0,14,0.720000,0.580000,300.500000,2926.709788,50
