epoch,episodes,wins,draws,losses,win_rate,avg_alive_diff,avg_steps,steps_p50,steps_p90,steps_max,learner_rating,num_players,early_my_alive_avg,early_opp_alive_avg,early_alive_drop_ratio,early_avg_power
113,50,32,0,18,0.640000,0.520000,70.720000,70.500000,107.499992,168.000000,2225.593645,24,2.986667,2.966667,0.000000,526.666667
114,50,32,0,18,0.640000,0.580000,61.160000,58.000000,90.000000,125.000000,2271.821321,24,3.000000,2.986667,0.000000,533.333333
115,50,37,0,13,0.740000,0.940000,73.720000,75.500000,101.499992,150.000000,2343.198717,24,2.986667,2.946667,0.000000,540.000000
116,50,31,0,19,0.620000,0.700000,67.740000,62.500000,102.999985,236.000000,2343.387976,25,3.000000,2.973333,0.000000,520.000000
117,50,31,0,19,0.620000,0.640000,74.080000,78.500000,106.000000,154.000000,2310.071850,25,2.993333,2.973333,0.000000,520.000000
118,50,35,0,15,0.700000,0.760000,70.820000,72.500000,115.099998,136.000000,2309.369399,25,2.980000,2.960000,0.000000,533.333333
119,50,34,0,16,0.680000,0.720000,74.680000,69.500000,108.999969,198.000000,2336.009762,25,3.000000,2.986667,0.000000,500.000000
120,50,36,0,14,0.720000,0.740000,74.100000,70.500000,112.799973,143.000000,2387.026856,25,2.980000,2.980000,0.000000,540.000000
121,50,31,0,19,0.620000,0.540000,69.580000,69.000000,115.399994,158.000000,2317.452739,26,3.000000,2.986667,0.000000,513.333333
122,50,41,0,9,0.820000,1.200000,62.120000,59.500000,94.299995,134.000000,2452.406842,26,3.000000,2.953333,0.000000,506.666667
123,50,34,0,16,0.680000,0.780000,67.820000,61.000000,110.699989,166.000000,2391.437917,26,2.993333,2.946667,0.000000,506.666667
124,50,40,0,10,0.800000,0.960000,81.080000,77.000000,135.199997,216.000000,2490.859281,26,3.000000,2.966667,0.000000,513.333333
125,50,38,0,12,0.760000,0.880000,79.540000,79.500000,125.099998,210.000000,2491.679374,26,2.993333,2.953333,0.000000,513.333333
126,50,32,0,18,0.640000,0.520000,83.180000,80.500000,129.899994,193.000000,2398.200279,27,2.986667,2.960000,0.000000,526.666667
127,50,35,0,15,0.700000,0.760000,82.020000,77.500000,141.199982,202.000000,2442.242306,27,2.980000,2.966667,0.000000,520.000000
128,50,40,0,10,0.800000,1.040000,85.760000,83.000000,131.399994,195.000000,2519.449700,27,2.986667,2.940000,0.000000,513.333333
129,50,35,0,15,0.700000,0.840000,78.380000,77.500000,120.299995,187.000000,2462.158783,27,2.993333,2.980000,0.000000,520.000000
130,50,30,0,20,0.600000,0.400000,90.820000,83.000000,142.799988,202.000000,2378.225059,27,2.993333,2.986667,0.000000,520.000000
