epoch,num_samples,policy_loss,value_loss,entropy_mean,entropy_std,approx_kl,clip_frac,top1_prob_mean,top5_prob_mean,top20_prob_mean,top50_prob_mean,grad_norm_mean,lr,power0_ratio,power1_ratio,power2_ratio,stone0_ratio,stone1_ratio,stone2_ratio
61,871,-0.015614,0.676317,3.389104,0.019879,0.010288,0.163700,0.127862,0.422199,0.837355,0.973982,3.091847,0.00010000,0.963261,0.019518,0.017222,0.328358,0.408726,0.262916
62,892,-0.016311,0.657237,3.342811,0.049253,0.011480,0.207465,0.131514,0.431564,0.846968,0.977735,3.209596,0.00010000,0.966368,0.016816,0.016816,0.377803,0.359865,0.262332
63,910,-0.018843,0.572363,3.375439,0.057250,0.012628,0.218254,0.125326,0.426559,0.830119,0.976038,3.166887,0.00010000,0.951648,0.038462,0.009890,0.370330,0.372527,0.257143
64,808,-0.022345,0.810676,3.298381,0.040825,0.012435,0.249920,0.146617,0.460156,0.843086,0.979528,3.167749,0.00010000,0.949257,0.040842,0.009901,0.417079,0.355198,0.227723
65,1013,-0.012850,0.569980,3.217763,0.035170,0.010923,0.196418,0.176359,0.480626,0.856759,0.980771,3.182699,0.00010000,0.963475,0.021718,0.014808,0.427443,0.316881,0.255676
66,911,0.007363,0.614046,3.169398,0.033089,0.009895,0.157338,0.177304,0.498895,0.863474,0.981932,3.236016,0.00010000,0.950604,0.032931,0.016465,0.454446,0.328211,0.217344
67,983,-0.008330,0.591129,3.179708,0.034740,0.011176,0.186651,0.163250,0.497883,0.867154,0.981729,3.162377,0.00010000,0.959308,0.024415,0.016277,0.405900,0.362157,0.231943
68,1008,-0.008340,0.579900,3.167426,0.030184,0.008675,0.135525,0.162551,0.502178,0.868878,0.982108,3.068982,0.00010000,0.972222,0.013889,0.013889,0.368056,0.337302,0.294643
69,990,-0.017194,0.507341,3.206255,0.026080,0.008603,0.141645,0.153023,0.489340,0.864011,0.980319,3.150630,0.00010000,0.972727,0.017172,0.010101,0.412121,0.309091,0.278788
70,1123,-0.007958,0.473805,3.154561,0.050267,0.010822,0.188633,0.165251,0.505651,0.870389,0.981274,3.218334,0.00010000,0.969724,0.019590,0.010686,0.341941,0.366874,0.291184
71,930,-0.014919,0.659749,3.239571,0.031437,0.011158,0.178105,0.158671,0.475849,0.856977,0.978513,2.982234,0.00010000,0.943011,0.045161,0.011828,0.378495,0.322581,0.298925
72,1047,-0.013696,0.579372,3.150036,0.058373,0.009998,0.168798,0.169671,0.514024,0.870580,0.981144,3.258533,0.00010000,0.967526,0.025788,0.006686,0.364852,0.348615,0.286533
73,1255,-0.014603,0.452647,3.132128,0.041325,0.013512,0.208206,0.169063,0.527772,0.868478,0.980367,3.083084,0.00010000,0.970518,0.023904,0.005578,0.372908,0.389641,0.237450
74,1058,-0.012417,0.485609,3.112543,0.045212,0.010958,0.169334,0.157968,0.532725,0.878486,0.982125,3.056539,0.00010000,0.961248,0.028355,0.010397,0.368620,0.361059,0.270321
75,1109,-0.018735,0.510374,3.161900,0.036519,0.013570,0.224110,0.149145,0.510389,0.870720,0.979511,3.077145,0.00010000,0.965735,0.026150,0.008115,0.376014,0.346258,0.277728
76,1043,-0.011853,0.526332,3.136623,0.043787,0.010592,0.160330,0.171787,0.507615,0.871671,0.980343,3.192474,0.00010000,0.954938,0.036433,0.008629,0.336529,0.369128,0.294343
77,991,-0.025399,0.548600,3.162938,0.055110,0.011709,0.197486,0.156805,0.495701,0.872616,0.982712,3.161920,0.00010000,0.963673,0.022200,0.014127,0.403633,0.346115,0.250252
78,1085,-0.011904,0.613236,3.259023,0.050989,0.011533,0.187831,0.147113,0.474102,0.847487,0.978053,3.138669,0.00010000,0.966820,0.026728,0.006452,0.318894,0.384332,0.296774
79,1029,-0.002613,0.560527,3.184856,0.038799,0.011122,0.178493,0.144814,0.488536,0.869667,0.982556,3.524404,0.00010000,0.965986,0.027211,0.006803,0.331390,0.384840,0.283771
80,1117,-0.014347,0.497524,3.219981,0.049943,0.010506,0.159233,0.152882,0.482152,0.861334,0.979249,3.070364,0.00010000,0.962399,0.028648,0.008953,0.374217,0.335721,0.290063
81,1249,-0.014143,0.530721,3.151570,0.049512,0.011579,0.181242,0.168892,0.503307,0.872573,0.981716,2.955975,0.00010000,0.967974,0.026421,0.005604,0.371497,0.346677,0.281825
82,1031,-0.039852,0.533268,3.189621,0.062752,0.010963,0.183298,0.162720,0.488281,0.866178,0.978739,3.304638,0.00010000,0.967022,0.024248,0.008729,0.412221,0.327837,0.259942
83,1301,-0.015755,0.440532,3.212550,0.042485,0.012693,0.206763,0.166527,0.486979,0.855503,0.976255,2.731650,0.00010000,0.966180,0.027671,0.006149,0.399693,0.325135,0.275173
84,1302,-0.003023,0.459803,3.290558,0.044620,0.007715,0.124030,0.152808,0.470437,0.838423,0.971046,2.945550,0.00010000,0.960829,0.029186,0.009985,0.383257,0.316436,0.300307
85,1118,-0.014874,0.561656,3.192780,0.072569,0.011321,0.186073,0.169167,0.498474,0.858552,0.976699,2.793013,0.00010000,0.960644,0.025939,0.013417,0.372987,0.330054,0.296959
86,1133,-0.011183,0.548945,3.082705,0.049392,0.011123,0.186291,0.193929,0.535538,0.874621,0.980586,3.040685,0.00010000,0.961165,0.026478,0.012357,0.375110,0.301853,0.323036
87,1023,-0.020344,0.543690,3.092724,0.066172,0.012324,0.208581,0.205150,0.529258,0.859484,0.978507,2.829990,0.00010000,0.962854,0.026393,0.010753,0.396872,0.330401,0.272727
88,1200,-0.014967,0.487442,3.016272,0.059360,0.012388,0.171692,0.221991,0.559261,0.863716,0.981750,2.958622,0.00010000,0.965833,0.022500,0.011667,0.396667,0.318333,0.285000
89,1270,-0.008892,0.482077,2.968921,0.088990,0.013972,0.207137,0.242919,0.568753,0.865316,0.982661,2.759455,0.00010000,0.970866,0.019685,0.009449,0.456693,0.267717,0.275591
90,1380,-0.007837,0.448371,2.897813,0.094785,0.013416,0.199995,0.252607,0.599833,0.871657,0.983443,2.965552,0.00010000,0.978986,0.016667,0.004348,0.471739,0.226087,0.302174
91,1386,-0.006932,0.445463,2.904773,0.065832,0.011951,0.197815,0.246922,0.606949,0.873138,0.982754,2.958136,0.00010000,0.976190,0.015873,0.007937,0.440115,0.273449,0.286436
92,1241,-0.015446,0.446465,2.999358,0.074093,0.010949,0.166219,0.242189,0.574051,0.856041,0.977997,2.827594,0.00010000,0.962127,0.029815,0.008058,0.423852,0.262691,0.313457
93,1426,-0.015179,0.327525,2.827300,0.077561,0.010552,0.174618,0.271826,0.621158,0.875611,0.982075,2.767042,0.00010000,0.980365,0.014025,0.005610,0.420056,0.238429,0.341515
94,1392,-0.010372,0.394264,2.941624,0.085071,0.010836,0.153961,0.259119,0.585070,0.861018,0.979746,2.727174,0.00010000,0.965517,0.022989,0.011494,0.416667,0.237069,0.346264
95,1313,-0.011367,0.451517,2.979919,0.077240,0.011726,0.177414,0.246827,0.577188,0.858851,0.980594,2.929662,0.00010000,0.970297,0.022087,0.007616,0.434882,0.236101,0.329018
96,1428,-0.007678,0.408722,2.737825,0.075567,0.010927,0.179438,0.287018,0.644363,0.885216,0.986164,3.017248,0.00010000,0.985294,0.011204,0.003501,0.433473,0.228992,0.337535
97,1423,-0.007787,0.409466,2.933231,0.080136,0.014726,0.229076,0.247704,0.593489,0.860338,0.981232,2.772249,0.00010000,0.978918,0.016866,0.004216,0.393535,0.260014,0.346451
98,1518,-0.010619,0.390103,2.669840,0.076922,0.011277,0.179754,0.307200,0.656760,0.890335,0.987058,2.774119,0.00010000,0.976943,0.018445,0.004611,0.444664,0.241765,0.313570
99,1388,-0.013521,0.419045,2.807579,0.063620,0.011295,0.179903,0.286385,0.617290,0.876497,0.984132,2.885136,0.00010000,0.971182,0.022334,0.006484,0.415706,0.244957,0.339337
100,1457,-0.008780,0.402030,2.781038,0.074437,0.010551,0.159014,0.287124,0.624817,0.879956,0.985601,2.832342,0.00010000,0.969801,0.022649,0.007550,0.393960,0.242965,0.363075
101,1538,-0.013328,0.386750,2.762019,0.132829,0.009303,0.131667,0.285196,0.629784,0.883585,0.987075,3.511183,0.00010000,0.975293,0.014304,0.010403,0.401170,0.232770,0.366060
102,1517,-0.006685,0.372211,2.839967,0.089194,0.013731,0.220655,0.265236,0.603940,0.882129,0.987391,3.046472,0.00010000,0.977587,0.015162,0.007251,0.396836,0.234674,0.368490
103,1571,-0.008778,0.346087,2.764746,0.069389,0.009870,0.139500,0.281537,0.628481,0.887741,0.988721,3.070371,0.00010000,0.983450,0.010185,0.006365,0.408020,0.246976,0.345003
104,1444,-0.007058,0.381206,2.840194,0.054960,0.009765,0.149079,0.270836,0.602628,0.879998,0.987358,2.811004,0.00010000,0.976454,0.017313,0.006233,0.424515,0.254848,0.320637
105,1462,-0.011423,0.389948,2.853965,0.053618,0.011335,0.182032,0.253597,0.595174,0.888102,0.988160,3.026346,0.00010000,0.978796,0.015732,0.005472,0.398085,0.257182,0.344733
106,1592,-0.008606,0.370789,2.885598,0.062119,0.009793,0.149167,0.260215,0.587283,0.881777,0.987297,2.968330,0.00010000,0.980528,0.014447,0.005025,0.395101,0.282035,0.322864
107,1560,-0.010873,0.390705,2.852523,0.084595,0.010853,0.154097,0.277470,0.591374,0.882963,0.986650,2.919196,0.00010000,0.979487,0.016026,0.004487,0.435256,0.258974,0.305769
108,1438,-0.014156,0.406248,3.032751,0.042872,0.012224,0.202506,0.223103,0.539661,0.872204,0.984535,2.841236,0.00010000,0.977747,0.017385,0.004868,0.454798,0.242003,0.303199
